intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""1.2258e+02""",AAA,"=""0.000000000000000""","=""[0.998841848]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""1.3913e+02""",AAA,"=""0.000000000000000""","=""[0.998809403]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""1.5843e+02""",AAA,"=""0.000000000000000""","=""[0.998774364]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""1.8103e+02""",AAA,"=""0.000000000000000""","=""[0.998736445]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""2.0762e+02""",AAA,"=""0.000000000000000""","=""[0.998695323]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""2.3903e+02""",AAA,"=""0.000000000000000""","=""[0.998650626]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""2.7631e+02""",AAA,"=""0.000000000000000""","=""[0.998601927]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""3.2081e+02""",AAA,"=""0.000000000000000""","=""[0.998548734]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""3.7418e+02""",AAA,"=""0.000000000000000""","=""[0.998490477]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""4.3857e+02""",AAA,"=""0.000000000000000""","=""[0.998426492]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""5.1673e+02""",AAA,"=""0.000000000000000""","=""[0.998356002]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",,"=""T8637""","=""""",
