intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""10*""","=""""",,"=""[1.540832686199]""","=""4.385942""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0,1,2""",,"=""""","=""L1341""",
"=""10*""","=""""",,"=""[1.540841688744]""","=""4.385942""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0,1,2""",,"=""""","=""L1341""",
"=""10*""","=""""",,"=""[1.540831989759]""","=""4.385942""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""0,1,2""",,"=""""","=""L1341""",
"=""2""","=""""",,"=""0.000000000""","=""[1.80270302]""","=""1s2""","=""1S""","=""0""","=""1s.15p""","=""1P*""","=""1""",,"=""""","=""L14923""",
"=""3""","=""""",,"=""0.000000000""","=""[1.80204718]""","=""1s2""","=""1S""","=""0""","=""1s.14p""","=""1P*""","=""1""",,"=""""","=""L14923""",
"=""4""","=""""",,"=""0.000000000""","=""[1.80123442]""","=""1s2""","=""1S""","=""0""","=""1s.13p""","=""1P*""","=""1""",,"=""""","=""L14923""",
"=""5""","=""""",,"=""0.000000000""","=""[1.80021025]""","=""1s2""","=""1S""","=""0""","=""1s.12p""","=""1P*""","=""1""",,"=""""","=""L14923""",
"=""7""","=""""",,"=""0.000000000""","=""[1.79889465]""","=""1s2""","=""1S""","=""0""","=""1s.11p""","=""1P*""","=""1""",,"=""""","=""L14922""",
"=""10""","=""1.5929e+07""",AAA,"=""0.000000000""","=""[1.797165242627]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""15""","=""2.1826e+07""",AAA,"=""0.000000000""","=""[1.794828783560]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""20""","=""3.1031e+07""",AAA,"=""0.000000000""","=""[1.791563781435]""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""25""","=""4.6224e+07""",AAA,"=""0.000000000""","=""[1.786804118106]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""""","=""1.07e-02""",C,"=""0.000000000""","=""[1.786332331980]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""2""",M2,"=""T5612""","=""""",
"=""35""","=""7.3174e+07""",AAA,"=""0.000000000""","=""[1.779475898906]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""""","=""2.6480e+02""",AAA,"=""0.000000000""","=""[1.779347064353]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
"=""""","=""1.53e-02""",C,"=""0.000000000""","=""[1.778727151852]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",M2,"=""T5612""","=""""",
"=""50""","=""1.2582e+08""",AAA,"=""0.000000000""","=""[1.76733375597]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""""","=""4.3136e+02""",AAA,"=""0.000000000""","=""[1.767113480922]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
"=""""","=""2.64e-02""",C,"=""0.000000000""","=""[1.76604199211]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",M2,"=""T5612""","=""""",
"=""100""","=""2.4356e+08""",AAA,"=""0.000000000""","=""[1.74500998789]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14922""",
"=""""","=""7.4848e+02""",AAA,"=""0.000000000""","=""[1.744588470671]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
"=""""","=""5.2e-02""",C,"=""0.000000000""","=""[1.74249788943]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",M2,"=""T5612""","=""""",
"=""400""","=""5.6634e+08""",AAA,"=""0.000000000""","=""[1.69686458780]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""T8636c73""","=""L551""",
