intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
"=""*""","=""""",,"=""4.2239""","=""4.6436""","=""1s.2s.2p""","=""4P*""","=""3/2""","=""1s.2s.4s""","=""4S""","=""3/2""",,"=""""","=""L1560""",
"=""*""","=""""",,"=""4.2239""","=""4.6436""","=""1s.2s.2p""","=""4P*""","=""5/2""","=""1s.2s.4s""","=""4S""","=""3/2""",,"=""""","=""L1560""",
"=""*""","=""""",,"=""4.2239""","=""4.6436""","=""1s.2s.2p""","=""4P*""","=""1/2""","=""1s.2s.4s""","=""4S""","=""3/2""",,"=""""","=""L1560""",
"=""*""","=""""",,"=""0.0000000""","=""0.3952922""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3952922""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3952353""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3952353""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3951592""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3951592""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3950790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3950790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3950014""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3950014""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3949103""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3949103""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3948047""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3948047""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3945425""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3945425""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3943869""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3943869""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3942063""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3942063""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3940060""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""3/2""",,"=""""","=""L7397""",
"=""*""","=""""",,"=""0.0000000""","=""0.3940060""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""1/2""",,"=""""","=""L7397""",
