intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""a,B""","=""""",,"=""0.000000000""","=""10.221?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.4p.(1P*)?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""10.099?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.3p.(1P*)?""","=""1P*?""","=""1""",,"=""""","=""L6979""",
"=""a,B""","=""""",,"=""0.000000000""","=""10.050?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.4p.(3P*)?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""9.884?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.3p.(3P*)?""","=""1P*?""","=""1""",,"=""""","=""L6979""",
"=""a,B""","=""""",,"=""0.000000000""","=""9.464a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(1P*).4s""","=""1P*""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""9.371?a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(1P*).3d?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""3a,B""","=""""",,"=""0.000000000""","=""9.352a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(1P*).3s""","=""1P*""","=""1""",,"=""""","=""L2305""",
"=""5a,B""","=""""",,"=""0.000000000""","=""9.312?a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(3P*).4s?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""9.301?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(3P*).4d?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""9.237?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(3P*).3d?""","=""1P*?""","=""1""",,"=""""","=""L2305""",
"=""5a,B""","=""""",,"=""0.000000000""","=""9.198a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.(2S).2s.2p.(3P*).3s""","=""1P*""","=""1""",,"=""""","=""L2305""",
