intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""10a*""","=""""",,"=""0.00013931""","=""14.813""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""10a*""","=""""",,"=""0.000000000""","=""14.813""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""40a*""","=""""",,"=""0.000000000""","=""14.710""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""40a*""","=""""",,"=""0.00013931""","=""14.710""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.00013931""","=""14.667""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.000000000""","=""14.667""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""10a*""","=""""",,"=""0.00013931""","=""14.618""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""10a*""","=""""",,"=""0.000000000""","=""14.618""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.000000000""","=""14.592""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.00013931""","=""14.592""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.00013931""","=""14.567""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""30a*""","=""""",,"=""0.000000000""","=""14.567""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""40a*""","=""""",,"=""0.00013931""","=""14.102""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""40a*""","=""""",,"=""0.000000000""","=""14.102""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1S)""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""100a*""","=""""",,"=""0.000000000""","=""14.017""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""100a*""","=""""",,"=""0.00013931""","=""14.017""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(1D)""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""80a*""","=""""",,"=""0.00013931""","=""14.007""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""80a*""","=""""",,"=""0.000000000""","=""14.007""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p2.(3P)""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""a""","=""""",,"=""0.00013931""","=""0.917479""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).6p""","=""2P""","=""3/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.000000000""","=""0.901440""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3744""",
