intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""1""","=""""",,"=""0.000395612526""","=""1.214318""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).14p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000395612526""","=""1.213413""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).13p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000149600096""","=""1.212876""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).13p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000395612526""","=""1.212203""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).12p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000149600096""","=""1.211732""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).12p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000395612526""","=""1.210690""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).11p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000149600096""","=""1.210203""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).11p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""2""","=""""",,"=""0.000395612526""","=""1.208636""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).10p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000149600096""","=""1.208101""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).10p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""3""","=""""",,"=""0.000395612526""","=""1.205839""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).9p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""2""","=""""",,"=""0.000149600096""","=""1.205270""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).9p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""1""","=""""",,"=""0.000395612526""","=""1.205270""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).9p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""4""","=""""",,"=""0.000395612526""","=""1.201786""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).8p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""3""","=""""",,"=""0.000149600096""","=""1.201363""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).8p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""2""","=""""",,"=""0.000395612526""","=""1.201363""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).8p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""4""","=""""",,"=""0.000395612526""","=""1.195735""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).7p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""3""","=""""",,"=""0.000149600096""","=""1.195212""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).7p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""3""","=""""",,"=""0.000395612526""","=""1.195212""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).7p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""4""","=""""",,"=""0.000395612526""","=""1.186061""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).6p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""4""","=""""",,"=""0.000149600096""","=""1.185268""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).6p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""5""","=""""",,"=""0.000395612526""","=""1.185268""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).6p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""8""","=""""",,"=""0.000395612526""","=""1.169167""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).5p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""7""","=""""",,"=""0.000395612526""","=""1.168791""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).5p""","=""3D*""","=""2""",,"=""""","=""L5263""",
"=""7""","=""""",,"=""0.000000000000""","=""1.168089""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p2.(4P).5p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""7""","=""""",,"=""0.000149600096""","=""1.168089""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).5p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""9""","=""""",,"=""0.000395612526""","=""1.168089""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).5p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""8""","=""""",,"=""0.000395612526""","=""1.135634""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).4p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""10""","=""""",,"=""0.000149600096""","=""1.135236""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).4p""","=""3D*""","=""2""",,"=""""","=""L5263""",
"=""14""","=""""",,"=""0.000395612526""","=""1.135236""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).4p""","=""3D*""","=""2""",,"=""""","=""L5263""",
"=""6""","=""""",,"=""0.000000000000""","=""1.134636""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p2.(4P).4p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""6""","=""""",,"=""0.000149600096""","=""1.134636""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).4p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""6""","=""""",,"=""0.000395612526""","=""1.134636""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).4p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000000000000""","=""1.0485""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000149600096""","=""1.0485""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000149600096""","=""1.0486""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000395612526""","=""1.0487""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000395612526""","=""1.0486""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""",,"=""""","=""L5263""",
"=""47w*""","=""""",,"=""0.000395612526""","=""1.0485""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,"=""""","=""L5263""",
"=""7800""","=""3.8e+08""",C+,"=""0.000000000000""","=""0.96411251""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L12129""",
"=""17000""","=""1.14e+09""",C+,"=""0.000149600096""","=""0.96411251""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L12129""",
"=""18000""","=""1.9e+09""",C+,"=""0.000395612526""","=""0.96411251""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""3S*""","=""1""",,"=""T5520LS""","=""L12129""",
"=""46000i,bl""","=""""",,"=""0.000395612526""","=""[0.826299]""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).23d""","=""2[7/2]*""","=""3""",,"=""""","=""L8834c153""",
"=""170000""","=""""",,"=""0.000395612526""","=""0.826118""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).22d""","=""2[7/2]*""","=""3""",,"=""""","=""L8445""",
"=""190000*""","=""""",,"=""0.000149600096""","=""0.825700""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L8445""",
"=""190000*""","=""2.5e+05""",E,"=""0.000395612526""","=""0.825922""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).21d""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L8445""",
"=""220000*""","=""""",,"=""0.000395612526""","=""0.825700""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L8445""",
"=""220000*""","=""2.6e+05""",E,"=""0.000395612526""","=""0.825695""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).20d""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L8445""",
"=""9500bl*""","=""1.1e+06""",E,"=""0.000395612526""","=""0.825654""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).20d""","=""2[5/2]*""","=""3""",,"=""T9787""","=""L5455""",
"=""9500bl*""","=""""",,"=""0.000395612526""","=""0.825654""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).20d""","=""2[5/2]*""","=""2""",,"=""""","=""L5455""",
"=""180000""","=""2.3e+05""",E,"=""0.000395612526""","=""0.8254136""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).19d""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L8445""",
"=""9500bl*""","=""1.3e+06""",E,"=""0.000395612526""","=""0.825377""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).19d""","=""2[5/2]*""","=""3""",,"=""T9787""","=""L5455""",
"=""9500bl*""","=""""",,"=""0.000395612526""","=""0.825377""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).19d""","=""2[5/2]*""","=""2""",,"=""""","=""L5455""",
"=""230000""","=""""",,"=""0.000149600096""","=""0.8251057""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L8834""",
"=""150000""","=""""",,"=""0.000000000000""","=""0.8247251""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L8834""",
"=""190000""","=""""",,"=""0.000395612526""","=""0.8251057""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L8445""",
"=""38000bl*""","=""""",,"=""0.000395612526""","=""0.825090""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).18d""","=""2[5/2]*""","=""2""",,"=""""","=""L5455""",
"=""38000bl*""","=""1.7e+06""",E,"=""0.000395612526""","=""0.825090""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).18d""","=""2[5/2]*""","=""3""",,"=""T9787""","=""L5455""",
"=""110000""","=""""",,"=""0.000149600096""","=""0.8247251""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L8445""",
"=""58000bl*""","=""1.7e+06""",E,"=""0.000395612526""","=""0.824724""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).17d""","=""2[5/2]*""","=""3""",,"=""T9787""","=""L5455""",
"=""58000bl*""","=""""",,"=""0.000395612526""","=""0.824704""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).17d""","=""2[5/2]*""","=""2""",,"=""""","=""L5455""",
"=""190000*""","=""""",,"=""0.000395612526""","=""0.8247251""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L8445""",
