intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""""","=""3.74e+06""",D,"=""0.00000000""","=""1.053211""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""""","=""3.74e+06""",D,"=""0.00000000""","=""1.052472""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""3.73e+06""",E,"=""0.00000000""","=""1.052053""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""5.56e+06""",D+,"=""0.00000000""","=""1.048151""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""""","=""5.55e+06""",D,"=""0.00000000""","=""1.047402""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""5.54e+06""",D,"=""0.00000000""","=""1.046991""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""3.40e+07""",D+,"=""0.00000000""","=""1.041118""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""3.39e+07""",D+,"=""0.00000000""","=""1.040667""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""3.39e+07""",D+,"=""0.00000000""","=""1.040590""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""""","=""8.81e+06""",D+,"=""0.00000000""","=""1.04017967""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""""","=""8.79e+06""",D+,"=""0.00000000""","=""1.03949283""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
