intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3760""",
"=""""","=""6.02e+05""",D,"=""0.00000000""","=""1.306423""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""2.05e+07""",C,"=""0.00000000""","=""1.306423""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""3""",,"=""T5803""","=""""",
"=""""","=""5.30e+06""",D,"=""0.00000000""","=""1.306423""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""1.58e+07""",C,"=""0.00144222""","=""1.306423""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""8.97e+06""",C,"=""0.00144222""","=""1.306423""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""1.19e+07""",C,"=""0.00206837""","=""1.306423""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""1.35e+06""",D,"=""0.00000000""","=""1.257207""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""4.60e+07""",C+,"=""0.00000000""","=""1.257207""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""3""",,"=""T5803""","=""""",
