intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""a""","=""""",,"=""0.000000000""","=""3.5548""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.12p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5532""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.11p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5509""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.10p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5478""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.9p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5432""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.8p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5364""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.7p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5255""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.6p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.5054""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.5p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.4635""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.4p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""3.3476""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",,"=""""","=""L3359""",
"=""a""","=""""",,"=""0.000000000""","=""1.5895741""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5893027""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5892189""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).20s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5889881""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5888861""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).19s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5886106""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""a""","=""""",,"=""0.000000000""","=""1.5884923""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).18s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
