intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""a""","=""""",,"=""0.0000000000""","=""5.801""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).3d.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.738""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.5p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.640""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.468""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).6s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.435""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).5s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.418""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).3d""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.389""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(1P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.342""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""5.099""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3s.(3S).4p""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""4.981""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.(2S).2p6.3s.3p.(1P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""4.8783""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.(2S).2p6.3s.3p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40878""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).16s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40814""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).15s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40737""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).14s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40610""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).13s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40482""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40457""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).12s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40317""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40241""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).11s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.40063""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39949""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39720""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39683""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).14d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39595""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).13d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39544""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39493""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).12d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39354""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39240""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39190""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.39126""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38938""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38938""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38938""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38836""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38685""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38598""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38585""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38509""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a""","=""""",,"=""0.0000000000""","=""3.38484""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38296""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38296""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38095""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""a*""","=""""",,"=""0.0000000000""","=""3.38095""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
