intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""g,a""","=""""",,"=""0.00000000""","=""5.0458""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3p2.(1S) (2P*<1/2>).4s?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""5.0347""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3p2.(1S) (2P*<3/2>).4s?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""5.0053""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3d.(3D) (2P*<1/2>).5d?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.9878""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3p2.(3P) (2P*).3d?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.9788""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3d.(3D) (2P*<1/2>).4d?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.9761""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.9652""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.9006""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3d2?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.8625""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3p2.(3P) (2P*).4s?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.8554""","=""2p6.3s2""","=""1S""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.8279""","=""2p6.3s2""","=""1S""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.7979""","=""2p6.3s2""","=""1S""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.6956""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(1P*) (2S<1/2>).5p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.6814""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3p2.(1D) (2P*<3/2>).4s?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.6304""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(1P*) (2S<1/2>).4p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.6012""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2S<1/2>).9p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5963""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2S<1/2>).8p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5878""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2S<1/2>).7p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5733""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2S<1/2>).6p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5466""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2S<1/2>).5p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5139""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*) (2P<3/2>).5p?""","=""*""","=""1""",,"=""""","=""L4561""",
"=""g,a""","=""""",,"=""0.00000000""","=""4.5018""","=""2p6.3s2""","=""1S""","=""0""","=""2p5.(2P*).3s.3p.(3P*).4p?""","=""*""","=""1""",,"=""""","=""L4561""",
