intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""4.44e+07""",E,"=""0.00000000""","=""0.5734221""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.6d""","=""3D*""","=""1""",,"=""T6066LS""","=""""",
"=""""","=""3.32e+07""",E,"=""0.00070272""","=""0.5734221""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""1""",,"=""T6066LS""","=""""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""7.91e+07""",D,"=""0.00203356""","=""0.5735163""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""3""",,"=""T6066LS""","=""""",
"=""""","=""2.19e+06""",E,"=""0.00203356""","=""0.5734221""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""1""",,"=""T6066LS""","=""""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""5.92e+07""",E,"=""0.00070272""","=""0.5720478""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""2""",,"=""T6066LS""","=""""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""1.96e+07""",E,"=""0.00203356""","=""0.5720478""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""2""",,"=""T6066LS""","=""""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30""","=""7.16e+07""",E,"=""0.00000000""","=""0.5605365""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5d""","=""3D*""","=""1""",,"=""T8363""","=""L3521""",
"=""""","=""5.34e+07""",E,"=""0.00070272""","=""0.5605365""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""1""",,"=""T8363""","=""""",
"=""300""","=""8.73e+07""",C,"=""0.00070272""","=""0.5599541""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""2""",,"=""T5071""","=""L3521""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""2.11e+08""",C,"=""0.00203356""","=""0.56111099""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",,"=""T5071""","=""""",
"=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""3.54e+06""",E,"=""0.00203356""","=""0.5605365""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""1""",,"=""T8363""","=""""",
"=""""","=""1.12e+07""",D,"=""0.00203356""","=""0.5599541""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",,"=""T5071""","=""""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""7.67e+06""",D,"=""0.00070272""","=""0.54950187""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5d""","=""1D*""","=""2""",,"=""T5071""","=""""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""1.75e+07""",D,"=""0.00000000""","=""0.54685553""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.nd""","=""a 3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""100""","=""8.27e+07""",E,"=""0.00070272""","=""0.5471475""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""0""",,"=""T8363""","=""L3521""",
"=""100""","=""2.58e+07""",D,"=""0.00070272""","=""0.54685553""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""""","=""8.30e+06""",D,"=""0.00070272""","=""0.54600694""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""2""",,"=""T5071""","=""""",
"=""100""","=""3.09e+07""",D+,"=""0.00203356""","=""0.54685553""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.nd""","=""a 3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""200""","=""6.41e+07""",C,"=""0.00203356""","=""0.54600694""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.nd""","=""a 3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""2.20e+01""",D,"=""0.00000000""","=""0.53938874""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
