intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""10g,a""","=""""",,"=""0.00000000""","=""0.98093""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).16d""","=""3P*,3D*""","=""1 or 2 or 3""",,"=""""","=""L6772""",
"=""10g,a""","=""""",,"=""0.00000000""","=""0.98038""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).15d""","=""3P*,3D*""","=""1 or 2 or 3""",,"=""""","=""L6772""",
"=""10g,a""","=""""",,"=""0.00000000""","=""0.97973""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).14d""","=""3P*,3D*""","=""1 or 2 or 3""",,"=""""","=""L6772""",
"=""20g,a""","=""""",,"=""0.00000000""","=""0.97871""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).13d""","=""3P*,3D*""","=""1 or 2 or 3""",,"=""""","=""L6772""",
"=""20g,a""","=""""",,"=""0.00000000""","=""0.97767""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).12d""","=""3P*,3D*""","=""1 or 2 or 3""",,"=""""","=""L6772""",
"=""20g,a*""","=""""",,"=""0.00000000""","=""0.9761""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).11d""","=""3P*""","=""1""",,"=""""","=""L6772""",
"=""20g,a*""","=""""",,"=""0.00000000""","=""0.9761""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).11d""","=""3P*""","=""2""",,"=""""","=""L6772""",
"=""25g,a*""","=""""",,"=""0.00000000""","=""0.9744""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).10d""","=""3P*""","=""1""",,"=""""","=""L6772""",
"=""25g,a*""","=""""",,"=""0.00000000""","=""0.9744""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).10d""","=""3P*""","=""2""",,"=""""","=""L6772""",
"=""30g,a*""","=""""",,"=""0.00000000""","=""0.97154""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).9d""","=""3P*""","=""1""",,"=""""","=""L6772""",
"=""30g,a*""","=""""",,"=""0.00000000""","=""0.97154""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).9d""","=""3P*""","=""2""",,"=""""","=""L6772""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9693a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).10s""","=""3P*""","=""2""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9693a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).10s""","=""3P*""","=""1""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9688a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).8d""","=""3D*""","=""2""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9688a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).8d""","=""3D*""","=""3""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9688a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).8d""","=""3D*""","=""1""",,"=""""","=""L6752""",
"=""30g,a*""","=""""",,"=""0.00000000""","=""0.96818""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).8d""","=""3P*""","=""1""",,"=""""","=""L6772""",
"=""30g,a*""","=""""",,"=""0.00000000""","=""0.96818""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).8d""","=""3P*""","=""2""",,"=""""","=""L6772""",
"=""25g,a*""","=""""",,"=""0.00000000""","=""0.9648a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).9s""","=""3P*""","=""1""",,"=""""","=""L6772""",
"=""25g,a*""","=""""",,"=""0.00000000""","=""0.9648a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).9s""","=""3P*""","=""2""",,"=""""","=""L6772""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9636a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).7d""","=""3D*""","=""1""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9636a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).7d""","=""3D*""","=""3""",,"=""""","=""L6752""",
"=""g,a,B*""","=""""",,"=""0.00000000""","=""0.9636a""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).7d""","=""3D*""","=""2""",,"=""""","=""L6752""",
"=""g,a,B""","=""""",,"=""0.00522739""","=""0.96818""","=""3s2.3p4""","=""3P""","=""0""","=""3s2.3p3.(2P*).8d""","=""3P*""","=""1""",,"=""""","=""L6752,L1500""",
