intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""3000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""""","=""2.71e+07""",C,"=""0.000000000""","=""0.76657490""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",,"=""T1220,T1195n""","=""""",
"=""1200""","=""2.33e+08""",C,"=""0.000000000""","=""0.76656024""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""",,"=""T1220,T1195n""","=""L298""",
"=""900""","=""2.39e+08""",C,"=""0.008040578""","=""0.76657490""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""3000""","=""1.74e+08""",C,"=""0.000000000""","=""0.68222616""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",,"=""T1220""","=""L298""",
"=""10000""","=""4.19e+08""",C+,"=""0.000000000""","=""0.67639568""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""5000""","=""3.23e+08""",C+,"=""0.008040578""","=""0.68222616""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",,"=""T1220,T1195n""","=""L298""",
"=""12000""","=""7.5e+07""",C+,"=""0.008040578""","=""0.67639568""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""2500""","=""2.9e+05""",D,"=""0.000000000""","=""0.66364880""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",,"=""T1195n""","=""L298""",
"=""20000""","=""1.1e+07""",D,"=""0.000000000""","=""0.66056444""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",,"=""T1195n""","=""L298""",
"=""25000""","=""2.3e+05""",D,"=""0.000000000""","=""0.65573285""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""",,"=""T1220""","=""L298""",
"=""20000""","=""1.7e+06""",D,"=""0.008040578""","=""0.66364880""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",,"=""T1220""","=""L298""",
"=""12000""","=""1.5e+06""",D,"=""0.008040578""","=""0.66056444""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",,"=""T1195n""","=""L298""",
intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""20""","=""2.0e+05""",D,"=""0.65573285""","=""0.87767164""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T694""","=""L298""",
